BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,98101.0,0942000235,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,None,0.0,58.0,179.8999939,22325364.0,4337738.5,13904183.0,4083440.0,False,Compliant,648.62
NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,98101.0,0942000265,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,None,0.0,35.0,297.3999939,10750010.0,4870847.5,3832369.0,2046793.0,False,Compliant,511.39
Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154.0,0942000275,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,89.0,155.6000061,18588860.0,737559.5,17851297.0,0.0,False,Compliant,181.38
NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,98104.0,0942000350,7,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,89.0,157.3999939,9956396.0,4592347.5,4453868.0,910180.0,False,Compliant,433.86
NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,98104.0,0942000430,7,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,None,0.0,31.0,228.5,33556756.0,0.0,21225277.0,12331475.0,False,Compliant,802.89
NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,98104.0,0942000510,7,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,59.0,280.7000122,7606084.5,1776201.875,3764791.0,2065091.0,False,Compliant,273.02
NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,98104.0,0942000610,7,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,None,0.0,None,0.0,39.0,225.5,10154608.0,3430862.0,5908370.0,815376.0,False,Compliant,349.32
NonResidential,Other,King County Courthouse,516 3RD AVE,98104.0,0942000860,7,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,None,0.0,None,0.0,76.0,182.6999969,44984468.0,0.0,24357833.0,20626631.0,False,Compliant,1265.29
NonResidential,Other,King County Correctional Facility,500 5TH AVE,98104.0,0942001010,3,DOWNTOWN,47.60378,-122.32842,1985,1.0,19,385274,0,385274,Other,Other,385274.0,None,0.0,None,0.0,89.0,229.5,47859812.0,0.0,18257661.0,29602150.0,False,Compliant,1699.45
SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118.0,1102000138,2,SOUTHEAST,47.54576,-122.26853,1961,1.0,2,56228,0,56228,K-12 School,K-12 School,58916.0,None,0.0,None,0.0,95.0,60.70000076,1539478.5,0.0,936955.0,602523.0,True,Error - Correct Default Data,38.53
NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,1142000755,4,NORTHEAST,47.65959,-122.31755,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,None,0.0,84.0,148.0,3663534.5,0.0,2266231.0,1397303.0,False,Compliant,90.01
NonResidential,University,Main Campus Center,1000 Lenora St.,98121.0,0660001420,7,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,126593,0,126593,College/University,College/University,125000.0,None,0.0,None,0.0,76.0,173.0,11343686.0,0.0,4647474.0,6696211.0,False,Compliant,388.04
NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,98101.0,0660001725,7,DOWNTOWN,47.615,-122.33081,1930,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,None,0.0,None,0.0,89.0,61.20000076,1310236.625,0.0,1310236.0,0.0,False,Compliant,9.13
NonResidential,Hotel,Homewood Suites,1011 Pike ST,98101.0,0660001832,7,EAST,47.61301,-122.32929,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,63.0,58.0,5328052.0,0.0,572307.0,4755745.0,False,Compliant,256.57
NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,98101.0,0660002680,7,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,None,0.0,None,0.0,57.0,181.1000061,11061916.0,0.0,5610706.0,5451210.0,False,Compliant,328.63
NonResidential,Hotel,Hotel Five,2200 5th ave,98121.0,0697000170,7,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,None,0.0,None,0.0,57.0,199.6999969,4456714.5,0.0,2346349.0,2110365.0,False,Compliant,128.44
SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,98125.0,0752000170,5,NORTH,47.70994,-122.29301,1949,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,None,0.0,None,0.0,75.0,68.09999847,6779173.0,0.0,1947601.0,4831572.0,True,Error - Correct Default Data,270.18
SPS-District K-12,K-12 School,John Hay Elementary,201 Garfield St.,98109.0,0809000005,7,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,1.0,2,51582,0,51582,K-12 School,K-12 School,55166.0,None,0.0,None,0.0,85.0,0.0,1496816.0,0.0,1496816.0,0.0,False,Missing Data,10.43
NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,98070.0,0825049008,4,LAKE UNION,47.6641,-122.33118,1906,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,73.0,106.5,4145920.5,0.0,1352843.0,2793077.0,False,Compliant,157.77
NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,98105.0,0925049117,4,NORTHEAST,47.66583,-122.29965,1994,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,None,0.0,None,0.0,29.0,162.5,6668568.5,0.0,3016399.0,3652169.0,False,Compliant,215.0
NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,98105.0,0925049330,4,NORTHEAST,47.66172,-122.29598,1955,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,None,0.0,None,0.0,76.0,35.20000076,318365.0,0.0,281265.0,37100.0,False,Compliant,3.93
Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,98108.0,0022000005,2,GREATER DUWAMISH,47.53493,-122.31788,1992,1.0,3,494835,0,494835,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,388.2000122,2121920.0,0.0,1623657.0,498263.0,False,Compliant,37.78
NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,98118.0,0323049024,2,GREATER DUWAMISH,47.51138,-122.28875,1961,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,60.0,145.8999939,44731160.0,0.0,44731153.0,0.0,False,Compliant,311.84
SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,98199.0,0369000400,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,None,0.0,None,0.0,97.0,77.80000305,1650279.25,0.0,1217589.0,432690.0,False,Compliant,31.47
SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,98115.0,0425049022,4,NORTHEAST,47.68252,-122.29498,1950,1.0,2,175565,0,175565,K-12 School,K-12 School,182861.0,None,0.0,None,0.0,88.0,55.0,6399127.5,0.0,1599684.0,4799443.0,True,Error - Correct Default Data,266.05
NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,98107.0,0467000429,6,BALLARD,47.66587,-122.38476,1961,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,None,0.0,57.0,163.0,6186461.5,0.0,4291585.0,1894876.0,False,Compliant,130.56
NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,98144.0,0570000340,2,GREATER DUWAMISH,47.58034,-122.31132,1900,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,None,0.0,83.0,108.6999969,2951331.25,0.0,1579749.0,1371582.0,False,Compliant,83.86
NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,98103.0,0625049002,6,NORTHWEST,47.68891,-122.33553,1954,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,None,0.0,None,0.0,95.0,74.0,6994740.5,0.0,2679739.0,4315001.0,False,Compliant,247.85
NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,98121.0,0653000225,7,DOWNTOWN,47.61351,-122.35129,1911,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,76.0,76.59999847,2158629.0,0.0,1500229.0,658400.0,False,Compliant,45.43
NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,98101.0,1975700040,7,DOWNTOWN,47.60946,-122.33337,1969,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,None,0.0,None,0.0,67.0,121.8000031,16163194.0,0.0,12204406.0,3958787.0,False,Compliant,295.33
NonResidential,Large Office,5th and Pine,413 Pine Street,98101.0,1975700200,7,DOWNTOWN,47.6113,-122.33659,1973,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,Retail Store,65676.0,Data Center,493.0,78.0,176.6000061,9536161.0,0.0,9536160.0,0.0,False,Compliant,66.48
NonResidential,Other,1525 4th Avenue,1525 4th Ave,98101.0,1975700365,7,DOWNTOWN,47.61076,-122.33765,1920,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,None,0.0,89.0,48.79999924,1247362.0,0.0,714939.0,532423.0,False,Compliant,33.26
NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,98101.0,1975700380,7,DOWNTOWN,47.61048,-122.33794,1910,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,None,0.0,14.0,398.7000122,5071974.0,0.0,5071973.0,0.0,False,Compliant,35.36
NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,98101.0,1975700525,7,DOWNTOWN,47.60886,-122.33744,1926,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,59.0,485.2999878,15026196.0,0.0,4632459.0,10393737.0,False,Compliant,584.31
NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,98101.0,1976700010,7,DOWNTOWN,47.61233,-122.33432,1930,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,71.0,158.6000061,4841347.5,0.0,4290059.0,551288.0,False,Compliant,59.19
NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,98101.0,1976700095,7,DOWNTOWN,47.61087,-122.33339,1982,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,63.0,182.5,80469216.0,11598686.0,45545529.0,23324992.0,False,Compliant,2451.58
NonResidential,Hotel,Inn at the Market,86 Pine St,98101.0,1977200050,7,DOWNTOWN,47.60997,-122.34138,1985,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,98.0,215.8999939,5348309.0,0.0,3243900.0,2104408.0,False,Compliant,134.38
NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,98101.0,1977201035,7,DOWNTOWN,47.61155,-122.34114,1908,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,68.19999695,5401277.5,0.0,1293561.0,4107716.0,False,Compliant,227.18
NonResidential,Hotel,QUALITY INN,618 JOHN ST,98109.0,1991200730,7,LAKE UNION,47.61986,-122.34413,1959,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,None,0.0,86.0,165.6999969,5284343.5,0.0,2944680.0,2339663.0,False,Compliant,144.79
NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,98109.0,1991200935,7,LAKE UNION,47.62001,-122.34274,2000,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,Restaurant,3000.0,None,0.0,84.0,128.0,6715187.0,0.0,3396109.0,3319078.0,False,Compliant,199.95
NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,98109.0,1991200940,7,LAKE UNION,47.62025,-122.34314,1997,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,Parking,28300.0,None,0.0,80.0,144.5,5827595.5,0.0,3188457.0,2639138.0,False,Compliant,162.39
NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,98119.0,1992200235,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,None,0.0,None,0.0,81.0,107.4000015,6836900.0,0.0,4558937.0,2277962.0,False,Compliant,152.76
NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,98136.0,2125049015,3,EAST,47.63442,-122.30793,1911,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,None,0.0,None,0.0,76.0,81.09999847,3234787.75,0.0,551867.0,2682920.0,False,Compliant,146.34
NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,98109.0,2249000170,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,None,0.0,94.0,136.6999969,5337334.0,0.0,2423730.0,2913604.0,False,Compliant,171.64
NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,1700 E. Cherry St,98122.0,2254501944,3,CENTRAL,47.60823,-122.30956,1962,1.0,2,54984,0,54984,Office,Office,54984.0,None,0.0,None,0.0,71.0,139.6000061,3375211.0,0.0,1978230.0,1396981.0,False,Compliant,87.98
NonResidential,Senior Care Community,PSSA - The Mount,4831 35th Ave SW,98126.0,2324039001,1,SOUTHWEST,47.55837,-122.37751,1922,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,None,0.0,54.0,235.0,42792072.0,0.0,11824772.0,498263.0,False,Compliant,1727.11
NonResidential,Senior Care Community,Foss Home and Village,13023 Greenwood Ave. N,98133.0,2426039059,5,NORTHWEST,47.72426,-122.35599,1970,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,None,0.0,None,0.0,1.0,311.5,16402563.0,0.0,5679498.0,10723064.0,False,Compliant,609.1
NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 Pontius Ave N,98109.0,2467400430,7,LAKE UNION,47.61988,-122.33211,2008,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,None,0.0,74.0,154.1999969,3706100.25,0.0,2812688.0,893412.0,False,Compliant,67.06
SPS-District K-12,K-12 School,Arbor Heights Elementary,3701 S.W. 104th St.,98146.0,2518400005,1,SOUTHWEST,47.5097,-122.37759,1948,1.0,2,53352,0,53352,K-12 School,K-12 School,65568.0,None,0.0,None,0.0,85.0,0.0,600813.0,0.0,600813.0,0.0,False,Missing Data,4.19
NonResidential,Medical Office,Polyclinic North && South,1200 Harvard Ave,98122.0,1978201270,3,EAST,47.61244,-122.3214,1965,0.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,None,0.0,None,0.0,48.0,213.3999939,16701055.0,0.0,9886484.0,6814570.0,False,Compliant,430.84
NonResidential,Hotel,Sorrento Hotel,900 Madison St.,98104.0,1979200270,3,EAST,47.60898,-122.32693,1908,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,None,0.0,None,0.0,71.0,172.0,7258758.5,0.0,2660742.0,4598016.0,False,Compliant,262.75
NonResidential,Mixed Use Property,Central Seattle,921 Terry Ave.,98104.0,1979200290,3,EAST,47.60845,-122.32637,1983,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,Office,17020.0,51.0,505.7999878,15473117.0,5327802.5,10145313.0,0.0,False,Compliant,481.97
NonResidential,Retail Store,Firestone Store#012432,400 Westlake Ave N,98109.0,1983200230,7,LAKE UNION,47.62237,-122.33805,1929,1.0,2,58320,0,58320,Retail Store,Retail Store,72072.0,None,0.0,None,0.0,96.0,25.79999924,1049748.625,0.0,361803.0,687945.0,False,Compliant,39.06
NonResidential,Large Office,City Place III - SEDO,551 Boren Ave. North,98109.0,1983200325,7,LAKE UNION,47.62424,-122.33646,2010,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,Parking,150726.0,Other,15139.0,96.0,144.0,13795954.0,0.0,12871091.0,924861.0,False,Compliant,138.85
NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,98109.0,1984200065,3,LAKE UNION,47.62642,-122.33325,1990,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,None,0.0,37.0,184.0,19459304.0,0.0,10980652.0,8478651.0,False,Compliant,526.85
Nonresidential COS,Other,Key Arena,334 1st Ave. N,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1.0,1,389000,0,389000,Other,Other,368000.0,None,0.0,None,0.0,89.0,151.6000061,23658978.0,6093150.0,14419146.0,688680.0,False,Compliant,607.41
Nonresidential COS,Other,Bagley Wright Theatre,151 Mercer St.,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1.0,1,91213,0,91213,Other,Other,65000.0,None,0.0,None,0.0,89.0,261.7000122,8141155.5,4120130.0,3754115.0,0.0,False,Compliant,344.2
Nonresidential COS,Other,Armory,305 Harrison St.,98109.0,1985200305,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,1.0,5,396085,0,396085,Other,Other,278500.0,None,0.0,None,0.0,89.0,138.1000061,20955026.0,9763690.0,7252325.0,0.0,False,Compliant,804.2
NonResidential,Large Office,City Place IV - SEDO,333 Boren Ave. N.,98109.0,1986200410,7,LAKE UNION,47.62112,-122.33629,2010,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,Parking,310699.0,Other,26203.0,91.0,174.1999969,39605888.0,0.0,32206199.0,7399685.0,False,Compliant,617.52
Nonresidential COS,Other,Exhibition Hall,225 Mercer St.,98109.0,1988200440,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,1.0,2,52000,0,52000,Other,Other,52000.0,None,0.0,None,0.0,89.0,110.4000015,2726369.0,1202380.0,1293349.0,0.0,False,Compliant,101.83
Nonresidential COS,Other,Mercer Arena,363 Mercer St.,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,1.0,1,60696,0,60696,Other,Other,108000.0,None,0.0,None,0.0,89.0,25.5,875943.3125,0.0,875943.0,0.0,False,Compliant,6.11
Nonresidential COS,Other,McCaw Hall,321 Mercer St.,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,1.0,2,262048,0,262048,Other,Other,296000.0,None,0.0,None,0.0,89.0,171.1999969,20723248.0,5137220.0,13512686.0,0.0,False,Compliant,490.73
NonResidential,Small- and Mid-Sized Office,KCTS9,401 Mercer St,98109.0,1988200705,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,73.0,235.1999969,4166306.25,0.0,4166305.0,0.0,False,Compliant,29.04
NonResidential,Large Office,Bill and Melinda Gates Foundation,500 5th Ave N,98109.0,1988201155,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,Parking,185014.0,Other,6000.0,93.0,130.8000031,36667044.0,0.0,27597261.0,9069780.0,False,Compliant,674.09
NonResidential,Small- and Mid-Sized Office,J.G. Scripps Building,221 1st Ave. W,98033.0,1989200850,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,Parking,21454.0,Other,2406.0,68.0,192.3999939,3476212.5,0.0,2944692.0,531520.0,False,Compliant,48.76
NonResidential,Hotel,MEDITERRANEAN INN (ID#116),425 queen anne ave N.,98109.0,1989201125,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,Parking,36934.0,None,0.0,56.0,182.1999969,5155569.0,0.0,2637011.0,2518558.0,False,Compliant,152.14
NonResidential,Hotel,UNIVERSITY INN,4140 ROOSEVELT WAY NE,98105.0,1142001871,4,NORTHEAST,47.65772,-122.31756,1962,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,Swimming Pool,0.0,None,0.0,53.0,203.3000031,5448975.0,0.0,2128306.0,3320669.0,False,Compliant,191.2
SPS-District K-12,K-12 School,Pathfinder K-8,1901 SW Genesee St.,98106.0,1324039116,1,DELRIDGE,47.5636,-122.358,1999,1.0,3,74468,0,74468,K-12 School,K-12 School,75364.0,None,0.0,None,0.0,85.0,0.0,1698176.0,0.0,1698176.0,0.0,False,Missing Data,11.84
NonResidential,K-12 School,St. Joseph K-8 School,700 18th Ave. E.,98112.0,1336800825,3,EAST,47.62548,-122.30828,1923,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,None,0.0,None,0.0,34.0,82.30000305,2646879.0,0.0,1337786.0,1309093.0,False,Compliant,78.85
